Title,Link,Taglines,Description,Reference Link,,Icon
Pylint,https://pypi.org/project/pylint/,Python,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/Python-logo-notext.svg/2048px-Python-logo-notext.svg.png
Python IDE (Spyder),https://www.spyder-ide.org/,"Installation, Python",,,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSsJN32wvegS1DOyiC3OzVOWF2uAxqgyzndqQ&s
Git Bash Install,https://release-assets.githubusercontent.com/github-production-release-asset/23216272/5fd8ab6c-2db0-462d-99bf-1c990b2d24a7?sp=r&sv=2018-11-09&sr=b&spr=https&se=2025-11-21T17%3A24%3A18Z&rscd=attachment%3B+filename%3DGit-2.52.0-64-bit.exe&rsct=application%2Foctet-stream&skoid=96c2d410-5711-43a1-aedd-ab1947aa7ab0&sktid=398a6654-997b-47e9-b12b-9515b896b4de&skt=2025-11-21T16%3A23%3A39Z&ske=2025-11-21T17%3A24%3A18Z&sks=b&skv=2018-11-09&sig=x41eDmjZ%2BhMqLfGI%2Fm0JYm1Rt4d11G6%2B4Bktp%2BMV0yg%3D&jwt=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJpc3MiOiJnaXRodWIuY29tIiwiYXVkIjoicmVsZWFzZS1hc3NldHMuZ2l0aHVidXNlcmNvbnRlbnQuY29tIiwia2V5Ijoia2V5MSIsImV4cCI6MTc2Mzc0NDcyNiwibmJmIjoxNzYzNzQyOTI2LCJwYXRoIjoicmVsZWFzZWFzc2V0cHJvZHVjdGlvbi5ibG9iLmNvcmUud2luZG93cy5uZXQifQ.nIr3lnJhzSMrkjS-Xkup3g50MTidSXCMijln7LJoeMk&response-content-disposition=attachment%3B%20filename%3DGit-2.52.0-64-bit.exe&response-content-type=application%2Foctet-stream,"Installation, Python",,,,https://gitforwindows.org/img/gwindows_logo.png
ARMI Research Papers,,Research,,https://armiusa.sharepoint.com/sites/DeepTissueCharacterizationCenterDTCC/Shared%20Documents/Forms/AllItems.aspx?id=%2Fsites%2FDeepTissueCharacterizationCenterDTCC%2FShared%20Documents%2FGeneral%2FData%20Science%20Team%2FPapers&viewid=a6dab740%2D9015%2D4061%2D8de6%2D1ae2f67a27ed&csf=1&web=1&e=a12ixp&CID=c61b7f5f%2D8ef8%2D4b86%2Dbc29%2Df3ba3dc54a5e&FolderCTID=0x012000DD70FE2B71AE9F449F5E11996FA6C9F7,,icon.png
James Henderson,,Interns,,https://armiusa.sharepoint.com/sites/DeepTissueCharacterizationCenterDTCC/Shared%20Documents/Forms/AllItems.aspx?id=%2Fsites%2FDeepTissueCharacterizationCenterDTCC%2FShared%20Documents%2FGeneral%2FData%20Science%20Team%2FInternship%2FJimmy%20Henderson&viewid=a6dab740%2D9015%2D4061%2D8de6%2D1ae2f67a27ed&csf=1&web=1&e=a12ixp&CID=c61b7f5f%2D8ef8%2D4b86%2Dbc29%2Df3ba3dc54a5e&FolderCTID=0x012000DD70FE2B71AE9F449F5E11996FA6C9F7,,icon.png
James Henderson Intern Schedule,,Interns,,https://armiusa.sharepoint.com/:w:/r/sites/DeepTissueCharacterizationCenterDTCC/_layouts/15/Doc.aspx?sourcedoc=%7BB1442B82-A94E-490E-8C12-C2AAC3BA0DDE%7D&file=DST%20Internship%20Schedule%20for%20Jimmy%20Henderson.docx&wdOrigin=TEAMS-MAGLEV.null_ns.rwc&action=default&mobileredirect=true,,icon.png
James Henderson Intern Tier Board,,Interns,,https://armiusa.sharepoint.com/:x:/r/sites/DeepTissueCharacterizationCenterDTCC/_layouts/15/Doc.aspx?sourcedoc=%7BC5F08A4E-07CE-4055-83FA-30F2E6F12AF3%7D&file=Intern%20Tier%201%20Board.xlsx&wdOrigin=TEAMS-MAGLEV.p2p_ns.rwc&action=default&mobileredirect=true,,icon.png
Presentations Archive,,Resources,,https://armiusa.sharepoint.com/sites/DeepTissueCharacterizationCenterDTCC/Shared%20Documents/Forms/AllItems.aspx?id=%2Fsites%2FDeepTissueCharacterizationCenterDTCC%2FShared%20Documents%2FGeneral%2FData%20Science%20Team%2FPresentations&viewid=a6dab740%2D9015%2D4061%2D8de6%2D1ae2f67a27ed&csf=1&web=1&e=a12ixp&CID=c61b7f5f%2D8ef8%2D4b86%2Dbc29%2Df3ba3dc54a5e&FolderCTID=0x012000DD70FE2B71AE9F449F5E11996FA6C9F7,,icon.png
Meeting Notes Archive,,Resources,,https://armiusa.sharepoint.com/sites/DeepTissueCharacterizationCenterDTCC/Shared%20Documents/Forms/AllItems.aspx?id=%2Fsites%2FDeepTissueCharacterizationCenterDTCC%2FShared%20Documents%2FGeneral%2FData%20Science%20Team%2FWeekly%5Fmeetings%2FMeeting%5Fminutes%5Fand%5Fagendas%2FMinutes&viewid=a6dab740%2D9015%2D4061%2D8de6%2D1ae2f67a27ed,,icon.png
ARMI Policies,,Onboarding,,https://armiusa.sharepoint.com/Shared%20Documents/Forms/AllItems.aspx?FolderCTID=0x012000B18A6079D5C55F478820F3F692F178C1&id=%2FShared%20Documents%2FDepartment%20Documents%2FHuman%20Resources%2FARMI%20Policies,,icon.png
Intranet,,Quick Apps,,https://armiusa.sharepoint.com/,,icon.png
DTCC Software Repo,,Resources,,https://armiusa.sharepoint.com/sites/DeepTissueCharacterizationCenterDTCC/Shared%20Documents/Forms/AllItems.aspx?csf=1&web=1&e=a12ixp&CID=c61b7f5f%2D8ef8%2D4b86%2Dbc29%2Df3ba3dc54a5e&FolderCTID=0x012000DD70FE2B71AE9F449F5E11996FA6C9F7&id=%2Fsites%2FDeepTissueCharacterizationCenterDTCC%2FShared%20Documents%2FGeneral%2FData%20Science%20Team%2FSoftware,,icon.png
IT Support Helpdesk,https://dekaverse.atlassian.net/servicedesk/customer/portal/4/group/9/create/27,Resources,Help desk for staff with IT issues. Hardware & Software,,,https://cdn.worldvectorlogo.com/logos/jira-3.svg
Lunch & Learn Analysis,,Research,,https://armiusa.sharepoint.com/sites/DeepTissueCharacterizationCenterDTCC/Shared%20Documents/Forms/AllItems.aspx?id=%2Fsites%2FDeepTissueCharacterizationCenterDTCC%2FShared%20Documents%2FGeneral%2FData%20Science%20Team%2FInstitute%5Fimpact%2FData%5FDialogue%5FLunch%5Fand%5FLearn&viewid=a6dab740%2D9015%2D4061%2D8de6%2D1ae2f67a27ed&csf=1&web=1&e=a12ixp&CID=c61b7f5f%2D8ef8%2D4b86%2Dbc29%2Df3ba3dc54a5e&FolderCTID=0x012000DD70FE2B71AE9F449F5E11996FA6C9F7,,icon.png
Data Analysis Deliverables Catalog,,Resources,Presentations available for analysis.,https://armiusa.sharepoint.com/sites/DeepTissueCharacterizationCenterDTCC/Shared%20Documents/Forms/AllItems.aspx?id=%2Fsites%2FDeepTissueCharacterizationCenterDTCC%2FShared%20Documents%2FGeneral%2FData%20Science%20Team%2FData%5Fdictionary%5Fglossary%5Fand%5Fcatalog%2FData%20Analysis%20Deliverables%20Catalog&viewid=a6dab740%2D9015%2D4061%2D8de6%2D1ae2f67a27ed&csf=1&web=1&e=8vJQEi&CID=07ce441f%2D1afa%2D4b28%2D941b%2D2a0d2b193f40&FolderCTID=0x012000DD70FE2B71AE9F449F5E11996FA6C9F7,,icon.png
Data & Analytics Glossary,,Resources,Glossary of Data Analysis andData Science terms.,https://armiusa.sharepoint.com/sites/DeepTissueCharacterizationCenterDTCC/Shared%20Documents/Forms/AllItems.aspx?id=%2Fsites%2FDeepTissueCharacterizationCenterDTCC%2FShared%20Documents%2FGeneral%2FData%20Science%20Team%2FData%5Fdictionary%5Fglossary%5Fand%5Fcatalog%2FData%20%26%20Analytics%20Glossary&viewid=a6dab740%2D9015%2D4061%2D8de6%2D1ae2f67a27ed&csf=1&web=1&e=8vJQEi&CID=07ce441f%2D1afa%2D4b28%2D941b%2D2a0d2b193f40&FolderCTID=0x012000DD70FE2B71AE9F449F5E11996FA6C9F7,,icon.png
Data Science Resources,,Resources,Root of Data Science Team Intranet Sharepoint,https://armiusa.sharepoint.com/sites/DeepTissueCharacterizationCenterDTCC/Shared%20Documents/Forms/AllItems.aspx?id=%2Fsites%2FDeepTissueCharacterizationCenterDTCC%2FShared%20Documents%2FGeneral%2FData%20Science%20Team&viewid=a6dab740%2D9015%2D4061%2D8de6%2D1ae2f67a27ed&csf=1&web=1&e=a12ixp&CID=c61b7f5f%2D8ef8%2D4b86%2Dbc29%2Df3ba3dc54a5e&FolderCTID=0x012000DD70FE2B71AE9F449F5E11996FA6C9F7,,icon.png
Monday.com,https://armiusa.monday.com/,"Onboarding, Tools",Team Software Tracking Goals,,,https://1000logos.net/wp-content/uploads/2022/02/Monday-Com-Logo.jpg
Software Vetting Form,,"Resources, DST",Form to vet software and get approval.,https://armiusa.sharepoint.com/:w:/r/sites/DeepTissueCharacterizationCenterDTCC/_layouts/15/Doc.aspx?sourcedoc=%7B01FAA5C5-4D81-451A-A2B6-3591AD77EBA1%7D&file=Software%20Vetting%20Form.docx&action=default&mobileredirect=true,,icon.png
Complete Vetting Forms,,"Resources, DST",,https://armiusa.sharepoint.com/sites/DeepTissueCharacterizationCenterDTCC/Shared%20Documents/Forms/AllItems.aspx?id=%2Fsites%2FDeepTissueCharacterizationCenterDTCC%2FShared%20Documents%2FGeneral%2FData%20Science%20Team%2FSoftware%2FCybersecurity%20Program%2FCompleted%20Vetting%20Forms%2FSoftware&viewid=a6dab740%2D9015%2D4061%2D8de6%2D1ae2f67a27ed&csf=1&web=1&e=tuXtZ3&CID=44867cfc%2Df815%2D44bc%2Dbefb%2Dee2f18298fbe&FolderCTID=0x012000DD70FE2B71AE9F449F5E11996FA6C9F7,,icon.png
Software Package Self Assesment Form,,"Resources, DST",Upload self assessment guide,https://armiusa.sharepoint.com/:w:/r/sites/DeepTissueCharacterizationCenterDTCC/_layouts/15/Doc.aspx?sourcedoc=%7BEFD2F03A-2DD3-4F75-86F6-E361AA803DB1%7D&file=Package%20Self-Assessment%20Guide.docx&action=default&mobileredirect=true,,icon.png
DST Goals,,DST,,https://armiusa.monday.com/boards/7812829724,,https://1000logos.net/wp-content/uploads/2022/02/Monday-Com-Logo.jpg
DST RMF,,DST,,https://armiusa.monday.com/boards/9497384010/pulses/10705235635,,https://1000logos.net/wp-content/uploads/2022/02/Monday-Com-Logo.jpg
DST Software Tracker,,DST,,https://armiusa.monday.com/boards/9761719924/,,icon.png
Khan Academy Guidline Document,,"DST,Onboarding",,https://armiusa.sharepoint.com/:w:/r/sites/DeepTissueCharacterizationCenterDTCC/_layouts/15/Doc.aspx?sourcedoc=%7B08D57484-D813-4CC1-9553-007EC81BE3F7%7D&file=Khan%20Academy%20Biology%20and%20Chemistry%20Training%20v1.docx&wdOrigin=TEAMS-MAGLEV.null_ns.rwc&action=default&mobileredirect=true,,icon.png
